Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Multiplatform
5059,Space Invaders Extreme,DS PSP,2008,Shooter,Square Enix,0.18,0.02,0.02,0.02,0.24,1
5060,Dream Salon,DS Wii,2009,Misc,Zoo Digital Publishing,0.23,0,0,0.01,0.24,1
5061,Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,0.19,0.05,0,0.01,0.24,0
5062,Valhalla Knights,PSP,2006,Role-Playing,Rising Star Games,0.15,0,0.07,0.01,0.24,0
5063,Sakura Wars: Atsuki Chishio Ni,PS2,2003,Role-Playing,Sega,0,0,0.24,0,0.24,0
5064,SingStar Latino,PS2 PS3,2007,Misc,Sony Computer Entertainment,0.18,0.05,0,0.03,0.24,1
5065,ESPN Winter X Games: Snowboarding 2002,PS2 XB,2000,Sports,Konami Digital Entertainment,0.12,0.09,0,0.03,0.24,1
5066,Dokapon Kingdom,Wii PS2,2008,Role-Playing,Sting,0.17,0.04,0.02,0.02,0.24,1
5067,NHRA Championship Drag Racing,PS2,2005,Racing,ValuSoft,0.12,0.09,0,0.03,0.24,0
5068,Ms. Pac-Man: Maze Madness / Pac-Man World,GBA,2005,Puzzle,Namco Bandai Games,0.17,0.06,0,0,0.24,0
5069,Deca Sports 3,Wii,2010,Sports,Hudson Soft,0.15,0.07,0,0.02,0.24,0
5070,Luminous Arc,DS,2007,Role-Playing,Rising Star Games,0.16,0,0.06,0.01,0.24,0
5071,Guitar Freaks,PS,1999,Simulation,Konami Digital Entertainment,0,0,0.23,0.02,0.24,0
5072,Spawn the Eternal,PS,1997,Action,Sony Computer Entertainment,0.14,0.09,0,0.02,0.24,0
5073,"What Did I Do to Deserve This, My Lord!? 2",PSP,2008,Role-Playing,Nippon Ichi Software,0.05,0,0.18,0.01,0.24,0
5074,MLB,PSP,2005,Sports,Sony Computer Entertainment,0.23,0,0,0.02,0.24,0
5075,Dreamcast Collection,X360,2011,Misc,Sega,0.16,0.07,0,0.02,0.24,0
5076,Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.11,0.03,0.06,0.05,0.24,0
5077,Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios,0.08,0,0.16,0,0.24,0
5078,Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games,0.21,0.01,0,0.02,0.24,0
5079,World Soccer Winning Eleven 7,PS2,2003,Sports,Konami Digital Entertainment,0.12,0.09,0,0.03,0.24,0
5080,Azurik: Rise of Perathia,XB,2001,Action,Microsoft Game Studios,0.18,0.05,0,0.01,0.24,0
5081,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,0
5082,Namco Tennis Smash Court,PS,1995,Sports,Sony Computer Entertainment,0,0,0.23,0.02,0.24,0
5083,Marvel vs. Capcom Origins,PS2,2006,Fighting,Capcom,0.11,0.08,0.02,0.03,0.24,0
5084,Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft,0.1,0.12,0,0.02,0.24,0
5085,Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.11,0.01,0.12,0.01,0.24,0
5086,Genma Onimusha,XB,2002,Action,Capcom,0.14,0.04,0.05,0.01,0.24,0
5087,DK: King of Swing,GBA,2005,Platform,Nintendo,0.17,0.06,0,0,0.24,0
5088,Gallop Racer (JP),PS,1996,Sports,Tecmo Koei,0.04,0.03,0.16,0.02,0.24,0
5089,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,Ubisoft,0.12,0.1,0,0.02,0.24,0
5090,Panzer General,PS,1995,Strategy,Mindscape,0.14,0.09,0,0.02,0.24,0
5091,Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,Konami Digital Entertainment,0,0,0.24,0,0.24,0
5092,Killer7,GC PS2,2005,Action,Capcom,0.16,0.06,0,0.01,0.24,1
5093,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,Misc,Sega,0,0,0.24,0,0.24,0
5094,Grease Dance,X360 PS3,2011,Misc,505 Games,0.16,0.05,0,0.02,0.24,1
5095,PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive,0.02,0.21,0,0.01,0.24,0
5096,Megamind: Mega Team Unite,Wii,2010,Adventure,THQ,0.16,0.06,0,0.02,0.24,0
5097,G-Police,PS,1997,Action,Psygnosis,0.13,0.09,0,0.02,0.24,0
5098,Digimon World: Data Squad,PS2,2006,Role-Playing,Namco Bandai Games,0.12,0.09,0,0.03,0.24,0
5099,Jikkyou Powerful Pro Yakyuu 2001,PS,2001,Sports,Konami Digital Entertainment,0,0,0.23,0.02,0.24,0
5100,Transformers: War for Cybertron (DS Version),DS,2010,Shooter,Activision,0.22,0.01,0,0.02,0.24,0
5101,Battlestar Galactica,PS2 XB,2003,Shooter,Vivendi Games,0.14,0.08,0,0.02,0.24,1
5102,Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,0
5103,Avalon Code,DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,0
5104,Battle Stadium D.O.N,PS2 GC,2006,Fighting,Namco Bandai Games,0,0,0.24,0,0.24,1
5105,Boogie SuperStar,Wii,2008,Misc,Electronic Arts,0.2,0.02,0,0.02,0.24,0
5106,That's So Raven: Psychic on the Scene,DS,2006,Adventure,Disney Interactive Studios,0.23,0,0,0.02,0.24,0
5107,Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24,0
5108,BlazBlue: Continuum Shift II,PSP 3DS,2011,Fighting,PQube,0.08,0.03,0.11,0.02,0.24,1
5109,Shadow Hearts: Covenant,PS2,2004,Role-Playing,Midway Games,0.12,0.09,0,0.03,0.24,0
5110,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,0.17,0.06,0,0,0.24,0
5111,Game & Wario,WiiU,2013,Misc,Nintendo,0.06,0.06,0.11,0.01,0.24,0
5112,Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0,0.18,0,0.05,0.24,0
5113,Wild 9,PS,1998,Action,Interplay,0.13,0.09,0,0.02,0.24,0
5114,My Street,PS2,2003,Misc,Sony Computer Entertainment,0.12,0.09,0,0.03,0.24,0
5115,Scrabble (Others sales),DS,2009,Puzzle,Ubisoft,0,0.24,0,0,0.24,0
5116,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,0.19,0.03,0,0.02,0.24,0
5117,The History Channel: Battle for the Pacific,Wii PS3 X360,2007,Shooter,Activision,0.22,0,0,0.02,0.24,1
5118,Sherlock Holmes and the Mystery of Osborne House,DS,2010,Adventure,Focus Home Interactive,0.07,0.14,0,0.03,0.24,0
5119,Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,Action,Sony Computer Entertainment,0,0,0.24,0,0.24,0
5120,Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,0.19,0,0.03,0.02,0.24,0
5121,XS Airboat Racing,PS,2002,Racing,XS Games,0.13,0.09,0,0.02,0.24,0
5122,PDC World Championship Darts: Pro Tour,PS3 Wii X360,2010,Sports,O-Games,0,0.21,0,0.04,0.24,1
5123,Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24,0
5124,Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,0.16,0.06,0,0.02,0.24,0
5125,Front Mission: Gun Hazard,SNES,1996,Role-Playing,SquareSoft,0,0,0.24,0,0.24,0
5126,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,0
5127,PGA Tour 96,PS,1995,Sports,Electronic Arts,0.13,0.09,0,0.02,0.24,0
5128,Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.13,0.02,0.04,0.04,0.24,0
5129,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,Bethesda Softworks,0.16,0.06,0,0.02,0.24,0
5130,Covert Ops: Nuclear Dawn,PS,2000,Action,Sony Computer Entertainment,0.13,0.09,0,0.02,0.24,0
5131,Brunswick Circuit Pro Bowling,PS N64,1998,Sports,THQ,0.15,0.08,0,0.01,0.24,1
5132,Rugby World Cup 2015,PS3 PS4 X360 PSV XOne,2015,Sports,Ubisoft,0,0.2,0,0.03,0.24,1
5133,Lunar Knights,DS,2006,Role-Playing,Konami Digital Entertainment,0.17,0.01,0.04,0.02,0.24,0
5134,Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,0.13,0.06,0,0.04,0.24,0
5135,Sands of Destruction,DS,2008,Role-Playing,Sega,0.09,0,0.13,0.01,0.24,0
5136,Jimmie Johnson's Anything With an Engine,X360 Wii PS3,2011,Racing,Konami Digital Entertainment,0.22,0,0,0.03,0.24,1
5137,Jewels of the Tropical Lost Island,DS,2010,Puzzle,Storm City Games,0.11,0.1,0,0.02,0.24,0
5138,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,0
5139,Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,0
5140,Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure,0.17,0.06,0,0,0.24,0
5141,Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,0
5142,Galaga: Destination Earth,PS,2000,Shooter,Hasbro Interactive,0.13,0.09,0,0.02,0.24,0
5143,Nintendo Presents: Crossword Collection,DS,2009,Puzzle,Nintendo,0,0.21,0,0.02,0.24,0
5144,TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,0.1,0.11,0,0.03,0.24,0
5145,LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.1,0,0.05,0.24,0
5146,Dance Dance Revolution: Disney Channel Edition,PS2,2008,Simulation,Konami Digital Entertainment,0.12,0.09,0,0.03,0.24,0
5147,K-1 Revenge,PS,1997,Fighting,Xing Entertainment,0.04,0.03,0.16,0.02,0.24,0
5148,Forsaken,PS,1998,Shooter,Acclaim Entertainment,0.13,0.09,0,0.02,0.24,0
5149,Amazing Adventures: The Forgotten Ruins,DS,2008,Adventure,PopCap Games,0.13,0.08,0,0.02,0.24,0
5150,Army Men: Air Combat,N64,2000,Action,3DO,0.19,0.05,0,0,0.24,0
5151,SimAnimals Africa,Wii DS,2009,Simulation,Electronic Arts,0.18,0.03,0,0.02,0.24,1
5152,The Price is Right: Decades,Wii X360,2011,Misc,Ubisoft,0.23,0,0,0.02,0.24,1
5153,Road Rash 64,N64,1999,Racing,THQ,0.19,0.05,0,0,0.24,0
5154,Midway's Greatest Arcade Hits Volume 1,N64,2000,Misc,Midway Games,0.19,0.05,0,0,0.24,0
5155,Lucky Luke,PS,1998,Platform,Ocean,0.13,0.09,0,0.02,0.24,0
5156,Paperboy,N64,1999,Action,Midway Games,0.19,0.05,0,0,0.24,0
5157,Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.22,0,0,0.02,0.24,0
5158,Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,Action,Namco Bandai Games,0,0,0.24,0,0.24,0
5159,Densetsu no Stafi 3,GBA,2004,Platform,Nintendo,0,0,0.23,0.01,0.24,0
5160,Sega Soccer Slam,PS2 GC XB,2002,Sports,Sega,0.15,0.07,0,0.02,0.24,1
5161,Saint Seiya: Sanctuary Battle,PS3,2011,Action,Namco Bandai Games,0,0.09,0.11,0.03,0.23,0
5162,Cartoon Network: Punch Time Explosion XL,Wii X360 PS3,2011,Fighting,Crave Entertainment,0.2,0.01,0,0.01,0.23,1
5163,Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,0.22,0,0,0.02,0.23,0
5164,NeverDead,PS3 X360,2012,Shooter,Konami Digital Entertainment,0.12,0.07,0.01,0.03,0.23,1
5165,Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23,0
5166,Wakeboarding Unleashed Featuring Shaun Murray,PS2 XB GBA,2003,Sports,Activision,0.13,0.08,0,0.02,0.23,1
5167,The Raiden Project,PS,1995,Shooter,Ocean,0.06,0.04,0.12,0.01,0.23,0
5168,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,0
5169,Ratchet & Clank: Full Frontal Assault,PS3,2012,Adventure,Sony Computer Entertainment,0.19,0.01,0,0.02,0.23,0
5170,Bicycle Casino 2005,XB,2004,Misc,Zoo Digital Publishing,0.17,0.05,0,0.01,0.23,0
5171,SingStar Pop Edition,PS3,2009,Misc,Sony Computer Entertainment,0,0.19,0,0.05,0.23,0
5172,Mega Man & Bass,GBA,2002,Platform,Capcom,0.16,0.06,0,0,0.23,0
5173,Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5174,Musou Orochi Z,PS3,2009,Action,Tecmo Koei,0,0,0.23,0,0.23,0
5175,Burnout Paradise: The Ultimate Box,PC PS3 X360,2009,Racing,Electronic Arts,0,0.17,0.01,0.03,0.23,1
5176,TRON: Evolution - Battle Grids,Wii,2010,Racing,Disney Interactive Studios,0.18,0.03,0,0.02,0.23,0
5177,Me & My Katamari,PSP,2005,Puzzle,Namco Bandai Games,0.13,0.02,0.08,0,0.23,0
5178,Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,0.21,0,0,0.02,0.23,0
5179,MotoGP 10/11,PS3 X360,2011,Racing,Capcom,0.04,0.15,0,0.05,0.23,1
5180,Girls Mode 3: Kirakira Code,3DS,2015,Action,Nintendo,0,0,0.23,0,0.23,0
5181,Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0,0,0.23,0,0.23,0
5182,Buffy the Vampire Slayer,XB,2002,Action,Electronic Arts,0.18,0.05,0,0.01,0.23,0
5183,Super Robot Taisen D,GBA,2003,Strategy,Banpresto,0,0,0.23,0.01,0.23,0
5184,Meteos,DS,2005,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23,0
5185,Big Family Games,Wii,2009,Misc,THQ,0,0.22,0,0.02,0.23,0
5186,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0,0.02,0.23,0
5187,Street Fighter EX2 Plus,PS,1998,Fighting,Virgin Interactive,0.13,0.09,0,0.02,0.23,0
5188,Mobile Suit Gundam: Climax U.C.,PS2,2006,Action,Namco Bandai Games,0,0,0.23,0,0.23,0
5189,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,0
5190,Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01,0.23,0
5191,Disgaea: Afternoon of Darkness,PSP,2006,Role-Playing,Tecmo Koei,0.15,0.01,0.04,0.02,0.23,0
5192,Love Plus +,DS,2010,Simulation,Konami Digital Entertainment,0,0,0.23,0,0.23,0
5193,Let's Make a Soccer Team!,PS2,2006,Sports,Sega,0,0,0.23,0,0.23,0
5194,Wizards of Waverly Place: Spellbound,DS,2010,Misc,Disney Interactive Studios,0.16,0.06,0,0.02,0.23,0
5195,Karaoke Revolution Volume 2,PS2,2004,Misc,Konami Digital Entertainment,0.11,0.09,0,0.03,0.23,0
5196,Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,0.09,0,0.12,0.01,0.23,0
5197,Deadly Creatures,Wii,2009,Action,THQ,0.08,0.12,0,0.03,0.23,0
5198,Samurai Warriors 2: Empires,PS2 X360,2006,Action,Tecmo Koei,0.03,0,0.2,0,0.23,1
5199,All-Star Baseball 2001,N64,2000,Sports,Acclaim Entertainment,0.22,0.01,0,0,0.23,0
5200,Lunar: Silver Star Story,SAT,1996,Role-Playing,Kadokawa Shoten,0,0,0.23,0,0.23,0
5201,Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,0
5202,Saka-Tsuku DS: Touch and Direct,DS,2008,Sports,Sega,0,0,0.23,0,0.23,0
5203,Virtua Fighter Kids,SAT,1995,Fighting,Sega,0,0,0.23,0,0.23,0
5204,I Love Horses,DS,2008,Simulation,GSP,0.21,0,0,0.01,0.23,0
5205,Fate/Stay Night [R??alta Nua],PS2 PSV,2007,Adventure,Kadokawa Shoten,0,0,0.23,0,0.23,1
5206,Super Swing Golf,Wii,2006,Sports,Nintendo,0.14,0.01,0.07,0.01,0.23,0
5207,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Strategy,Konami Digital Entertainment,0,0.03,0.18,0.01,0.23,0
5208,The Legend of Heroes VII: The Trail of Zero,PSP PSV,2010,Role-Playing,Falcom Corporation,0,0,0.23,0,0.23,1
5209,Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.19,0.02,0,0.02,0.23,0
5210,Star Wars: Lethal Alliance,PSP DS,2006,Action,Ubisoft,0.19,0.02,0,0.02,0.23,1
5211,What's Cooking? Jamie Oliver,DS,2008,Simulation,Atari,0.2,0.01,0,0.02,0.23,0
5212,Mega Man Battle Network 5: Team Colonel / Protoman,GBA,2004,Role-Playing,Capcom,0.16,0.06,0,0,0.23,0
5213,Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,0.17,0.05,0,0.01,0.23,0
5214,Naruto: Ninja Council 2 European Version,DS,2005,Fighting,Tomy Corporation,0,0,0.23,0,0.23,0
5215,Star Ocean,SNES,1996,Role-Playing,Enix Corporation,0,0,0.23,0,0.23,0
5216,Last Window: The Secret of Cape West,DS,2010,Adventure,Nintendo,0,0.12,0.09,0.02,0.23,0
5217,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Sports,Detn8 Games,0.21,0,0,0.02,0.23,0
5218,Yu-Gi-Oh! GX: Duel Academy,GBA,2005,Misc,Konami Digital Entertainment,0.17,0.06,0,0,0.23,0
5219,Tales of VS.,PSP,2009,Fighting,Namco Bandai Games,0,0,0.23,0,0.23,0
5220,Family Fest presents: Movie Games,Wii,2008,Action,Ubisoft,0.2,0.01,0,0.02,0.23,0
5221,Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23,0
5222,Alundra,PS,1997,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,0
5223,Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,Activision,0.18,0.05,0,0.01,0.23,0
5224,Colony Wars: Vengeance,PS,1998,Simulation,Psygnosis,0.13,0.09,0,0.02,0.23,0
5225,Pitfall: The Big Adventure,Wii,2008,Adventure,Activision,0.2,0.02,0,0.02,0.23,0
5226,Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,0.21,0,0,0.02,0.23,0
5227,Naruto Shippuden: Ninja Council 4,DS,2007,Action,Nintendo,0.09,0,0.13,0.01,0.23,0
5228,Ski-Doo Snowmobile Challenge,PS3 Wii X360,2009,Racing,PQube,0.21,0,0,0.02,0.23,1
5229,Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5230,Worms: Battle Islands,Wii,2010,Strategy,THQ,0.11,0.1,0,0.02,0.23,0
5231,Perfect Weapon,PS,1996,Action,American Softworks,0.13,0.09,0,0.02,0.23,0
5232,The King of Fighters '95 (CD),NG,1994,Fighting,SNK,0,0,0.23,0,0.23,0
5233,Super R-Type,SNES,1991,Shooter,Nintendo,0,0,0.23,0,0.23,0
5234,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,Adventure,Namco Bandai Games,0,0,0.23,0,0.23,0
5235,Harvest Moon GB,GB,1997,Simulation,Victor Interactive,0,0,0.23,0,0.23,0
5236,Imagine: Detective,DS,2009,Simulation,Ubisoft,0.16,0.01,0,0.06,0.23,0
5237,Critical Depth,PS,1997,Action,GT Interactive,0.13,0.09,0,0.01,0.23,0
5238,NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5239,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,0.15,0.06,0,0.02,0.23,0
5240,Hyperdimension Neptunia Victory,PS3 PSV,2012,Role-Playing,Compile Heart,0.05,0.03,0.13,0.02,0.23,1
5241,Asphalt: Injection,PSV,2011,Action,Ubisoft,0.14,0.06,0,0.04,0.23,0
5242,Schlag den Raab,Wii PC,2010,Misc,Namco Bandai Games,0,0.19,0,0.04,0.23,1
5243,All Star Karate,Wii,2010,Action,THQ,0.14,0.07,0,0.02,0.23,0
5244,The Magic School Bus: Oceans,DS,2011,Adventure,Scholastic Inc.,0.21,0,0,0.01,0.23,0
5245,Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998,Fighting,Tomy Corporation,0,0,0.21,0.01,0.23,0
5246,Buzz! Junior: RoboJam,PS2,2007,Misc,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5247,Dinosaur King,DS,2007,Strategy,Sega,0.2,0,0,0.02,0.23,0
5248,Ghost in the Shell: Stand Alone Complex,PS2 PSP,2004,Adventure,Namco Bandai Games,0.14,0.06,0,0.03,0.23,1
5249,Digimon World DS (JP sales),DS,2006,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,0
5250,NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5251,Jersey Devil,PS,1997,Platform,Ocean,0.13,0.09,0,0.01,0.23,0
5252,101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.23,0
5253,NBA Street: Showdown,PSP,2005,Sports,Electronic Arts,0.2,0,0,0.02,0.23,0
5254,Petz Monkeyz House,DS,2008,Simulation,Ubisoft,0.2,0,0,0.02,0.23,0
5255,Trigger Man,PS2 XB GC,2004,Shooter,Play It,0.12,0.07,0,0.02,0.23,1
5256,Backyard NFL Football 2006,PS2 GBA,2005,Sports,Atari,0.12,0.09,0,0.03,0.23,1
5257,NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5258,Family Party: 30 Great Games Winter Fun,Wii,2010,Sports,D3Publisher,0.21,0,0,0.01,0.23,0
5259,NBA ShootOut 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,0
5260,Final Fantasy XI: Vana'diel Collection 2008,X360 PS2,2007,Role-Playing,Square Enix,0.16,0.03,0.02,0.02,0.23,1
5261,Natural Doctrine,PS4 PSV PS3,2014,Role-Playing,Nippon Ichi Software,0.11,0.05,0.06,0.03,0.23,1
5262,Bodycount,PS3 X360,2011,Shooter,Codemasters,0.12,0.09,0,0.03,0.23,1
5263,SafeCracker: The Ultimate Puzzle Adventure,DS Wii,2009,Puzzle,The Adventure Company,0.14,0.07,0,0.02,0.23,1
5264,Moon,PS DS,1997,Adventure,ASCII Entertainment,0.04,0,0.17,0.01,0.23,1
5265,Putty Squad,PS4 PSV PS3,2013,Platform,System 3,0.08,0.1,0,0.03,0.22,1
5266,The Grim Adventures of Billy & Mandy,GC Wii,2006,Action,Midway Games,0.17,0.03,0,0,0.22,1
5267,Professor Heinz Wolff's Gravity,Wii DS,2008,Puzzle,Deep Silver,0.08,0.12,0,0.02,0.22,1
5268,Top Spin 2,X360 DS,2006,Sports,Take-Two Interactive,0.2,0.01,0,0.01,0.22,1
5269,MTV Music Generator 3: This Is the Remix,PS2 XB,2004,Misc,Codemasters,0.13,0.07,0,0.02,0.22,1
5270,Rapala Fishing Frenzy 2009,PS3 X360,2008,Sports,Activision,0.2,0,0,0.01,0.22,1
5271,Lost Dimension,PSV PS3,2014,Role-Playing,Nippon Ichi Software,0.12,0.04,0.02,0.04,0.22,1
5272,Just Dance: Disney Party 2,WiiU X360 XOne,2015,Action,Ubisoft,0.16,0.03,0,0.03,0.22,1
5273,Persona 4: Arena Ultimax,PS3 X360,2014,Fighting,Atlus,0.06,0.02,0.13,0.01,0.22,1
5274,Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.09,0.1,0,0.04,0.22,0
5275,Mobile Suit Gundam Seed,PS2,2003,Action,Namco Bandai Games,0,0,0.22,0,0.22,0
5276,Dino Stalker,PS2,2002,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,0
5277,Rapala's Fishing Frenzy,Wii,2008,Sports,Activision,0.2,0,0,0.02,0.22,0
5278,EVE Online,PC,2003,Role-Playing,CCP,0,0.19,0,0.02,0.22,0
5279,Touch the Dead,DS,2007,Shooter,Eidos Interactive,0.2,0,0,0.02,0.22,0
5280,Digimon World Re:Digitize,PSP,2012,Action,Namco Bandai Games,0,0,0.22,0,0.22,0
5281,Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,0.2,0,0,0.02,0.22,0
5282,Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.12,0.04,0.05,0.01,0.22,0
5283,Robin Hood: Defender of the Crown,PS2 XB,2003,Strategy,Capcom,0.11,0.08,0,0.02,0.22,1
5284,Mega Man Zero 3,GBA,2004,Platform,Capcom,0.16,0.06,0,0,0.22,0
5285,Ninja Gaiden: Dragon Sword,DS,2008,Action,Tecmo Koei,0.17,0.02,0.02,0.02,0.22,0
5286,Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,0
5287,Petz: Horse Club,Wii,2008,Misc,Ubisoft,0.2,0,0,0.02,0.22,0
5288,Barbie Super Sports,PS,1999,Sports,Mattel Interactive,0.12,0.08,0,0.01,0.22,0
5289,KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,0.2,0.01,0,0.02,0.22,0
5290,Lethal Skies Elite Pilot: Team SW,PS2,2001,Simulation,Sammy Corporation,0.11,0.08,0,0.03,0.22,0
5291,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,0
5292,NFL Quarterback Club 97,PS,1996,Sports,Acclaim Entertainment,0.12,0.08,0,0.01,0.22,0
5293,Blazblue: Continuum Shift Extend,PSV PS3 PSP,2011,Fighting,PQube,0.03,0.05,0.12,0.02,0.22,1
5294,College Hoops 2K6,X360 XB,2006,Sports,Take-Two Interactive,0.18,0.02,0,0.01,0.22,1
5295,Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,0.17,0.04,0,0.01,0.22,0
5296,nail'd,PS3 X360,2010,Racing,Deep Silver,0.16,0.04,0,0.03,0.22,1
5297,Breath of Fire,GBA,2001,Role-Playing,Ubisoft,0.11,0.04,0.06,0,0.22,0
5298,NFL Tour,PS3 X360,2008,Sports,Electronic Arts,0.19,0.01,0,0.02,0.22,1
5299,Ragnarok DS,DS,2008,Role-Playing,GungHo,0.1,0,0.11,0.01,0.22,0
5300,Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,0.16,0.06,0,0,0.22,0
5301,Shinseiki Evangelion: Koutetsu no Girlfriend,PS SAT,1998,Adventure,Gainax Network Systems,0,0,0.22,0.01,0.22,1
5302,Danny Phantom: The Ultimate Enemy,GBA,2005,Action,THQ,0.16,0.06,0,0,0.22,0
5303,Puyo Puyo Tetris,3DS PSV PS3 WiiU,2014,Puzzle,Sega,0,0,0.22,0,0.22,1
5304,Petz Rescue: Endangered Paradise,DS,2008,Adventure,Ubisoft,0.21,0,0,0.02,0.22,0
5305,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22,0
5306,Pimp My Ride,Wii X360,2008,Racing,Activision,0.2,0.01,0,0.02,0.22,1
5307,Hidden Mysteries: Buckingham Palace,DS,2010,Puzzle,Avanquest,0.13,0.07,0,0.02,0.22,0
